,Gebiet,Total,Jahr
0,Kreis 1,5817,2021
1,Rathaus,3275,2021
2,Hochschulen,701,2021
3,Lindenhof,1024,2021
4,City,817,2021
5,Kreis 2,36025,2021
6,Wollishofen,19937,2021
7,Leimbach,6338,2021
8,Enge,9750,2021
9,Kreis 3,50104,2021
10,Alt-Wiedikon,17631,2021
11,Friesenberg,10957,2021
12,Sihlfeld,21516,2021
13,Kreis 4,29023,2021
14,Werd,4574,2021
15,Langstrasse,11815,2021
16,Hard,12634,2021
17,Kreis 5,15804,2021
18,Gewerbeschule,9583,2021
19,Escher Wyss,6221,2021
20,Kreis 6,35355,2021
21,Unterstrass,24489,2021
22,Oberstrass,10866,2021
23,Kreis 7,38663,2021
24,Fluntern,8777,2021
25,Hottingen,11293,2021
26,Hirslanden,7338,2021
27,Witikon,11255,2021
28,Kreis 8,17818,2021
29,Seefeld,5862,2021
30,Mühlebach,6408,2021
31,Weinegg,5548,2021
32,Kreis 9,57077,2021
33,Albisrieden,22412,2021
34,Altstetten,34665,2021
35,Kreis 10,41017,2021
36,Höngg,24510,2021
37,Wipkingen,16507,2021
38,Kreis 11,76975,2021
39,Affoltern,26554,2021
40,Oerlikon,23880,2021
41,Seebach,26541,2021
42,Kreis 12,32654,2021
43,Saatlen,8788,2021
44,Schwamendingen-Mitte,10975,2021
45,Hirzenbach,12891,2021
46,Kreis 1,5831,2020
47,Rathaus,3317,2020
48,Hochschulen,675,2020
49,Lindenhof,1010,2020
50,City,829,2020
51,Kreis 2,35552,2020
52,Wollishofen,19757,2020
53,Leimbach,6140,2020
54,Enge,9655,2020
55,Kreis 3,50756,2020
56,Alt-Wiedikon,17764,2020
57,Friesenberg,11071,2020
58,Sihlfeld,21921,2020
59,Kreis 4,29034,2020
60,Werd,4570,2020
61,Langstrasse,11910,2020
62,Hard,12554,2020
63,Kreis 5,15622,2020
64,Gewerbeschule,9424,2020
65,Escher Wyss,6198,2020
66,Kreis 6,35317,2020
67,Unterstrass,24493,2020
68,Oberstrass,10824,2020
69,Kreis 7,38629,2020
70,Fluntern,8685,2020
71,Hottingen,11304,2020
72,Hirslanden,7396,2020
73,Witikon,11244,2020
74,Kreis 8,17456,2020
75,Seefeld,5480,2020
76,Mühlebach,6414,2020
77,Weinegg,5562,2020
78,Kreis 9,56462,2020
79,Albisrieden,22364,2020
80,Altstetten,34098,2020
81,Kreis 10,41044,2020
82,Höngg,24439,2020
83,Wipkingen,16605,2020
84,Kreis 11,76188,2020
85,Affoltern,26584,2020
86,Oerlikon,23548,2020
87,Seebach,26056,2020
88,Kreis 12,32845,2020
89,Saatlen,8799,2020
90,Schwamendingen-Mitte,11083,2020
91,Hirzenbach,12963,2020
92,Kreis 1,5791,2019
93,Rathaus,3307,2019
94,Hochschulen,678,2019
95,Lindenhof,1009,2019
96,City,797,2019
97,Kreis 2,35035,2019
98,Wollishofen,19225,2019
99,Leimbach,6152,2019
100,Enge,9658,2019
101,Kreis 3,51122,2019
102,Alt-Wiedikon,17874,2019
103,Friesenberg,11107,2019
104,Sihlfeld,22141,2019
105,Kreis 4,29368,2019
106,Werd,4455,2019
107,Langstrasse,11853,2019
